'y-axis saved as y
'Q,PG3_59708-1.xye,SigmaYobs,Ycalc,Diff
27.8138648,79.6741334,3.06059127,0,0
27.7915706,79.0653107,3.04658341,0,0
27.7692942,79.9861217,3.0591554,0,0
27.7470359,79.9224566,3.05574466,0,0
27.7247954,79.4133916,3.04763088,0,0
27.7025727,77.9169539,3.02455274,0,0
27.6803679,79.7281937,3.0512017,0,0
27.658181,78.3863633,3.0273721,0,0
27.6360119,79.2872296,3.03630207,0,0
27.6138607,78.3423649,3.01738061,0,0
27.5917272,79.4612558,3.03162097,0,0
27.5696115,78.2152918,3.00924739,0,0
27.5475136,78.5193587,3.01196661,0,0
27.5254335,77.8020144,3.00006391,0,0
27.5033711,79.5394637,3.02251265,0,0
27.4813264,78.8349916,3.00663424,0,0
27.4592995,78.6025236,2.99955559,0,0
27.4372903,79.9378254,3.01587162,0,0
27.4152987,78.9200307,2.99679649,0,0
27.3933248,78.9108758,2.99410138,0,0
27.3713687,77.9994208,2.9788,0,0
27.3494301,79.4130373,2.99678953,0,0
27.3275092,76.8576635,2.95129377,0,0
27.3056059,77.3800214,2.95798485,0,0
27.2837202,78.3642249,2.97204935,0,0
27.2618521,78.7258229,2.97316456,0,0
27.2400016,79.4087148,2.97753622,0,0
27.2181686,78.0785094,2.952433,0,0
27.1963532,78.6793026,2.96003187,0,0
27.1745553,79.4351898,2.96911136,0,0
27.152775,78.9843974,2.96147091,0,0
27.1310121,78.512178,2.95302612,0,0
27.1092667,77.7274479,2.93779919,0,0
27.0875389,78.3120076,2.94382141,0,0
27.0658285,78.471394,2.94286061,0,0
27.0441355,78.3041824,2.938056,0,0
27.02246,78.3578514,2.93610287,0,0
27.0008018,79.2953395,2.94438116,0,0
26.9791611,78.5528723,2.92890359,0,0
26.9575378,79.0847845,2.93873092,0,0
26.9359319,78.0211857,2.92070885,0,0
26.9143433,77.7449247,2.90989008,0,0
26.8927721,78.835863,2.92280413,0,0
26.8712182,80.0013191,2.93998635,0,0
26.8496816,78.8475508,2.92024741,0,0
26.8281624,78.4380432,2.91063144,0,0
26.8066604,78.0579446,2.90196462,0,0
26.7851758,79.4985676,2.92002935,0,0
26.7637083,77.9039855,2.89135147,0,0
26.7422582,79.3209591,2.90997512,0,0
26.7208253,77.8810573,2.88762387,0,0
26.6994096,79.1844181,2.90491804,0,0
26.6780111,78.7424126,2.89404425,0,0
26.6566298,79.3949313,2.89895443,0,0
26.6352657,78.5140094,2.88368166,0,0
26.6139188,77.4714448,2.86648997,0,0
26.592589,78.9092534,2.88433121,0,0
26.5712764,78.6604861,2.87588521,0,0
26.5499809,77.7453249,2.85859817,0,0
26.5287025,78.7657321,2.87427207,0,0
26.5074412,78.1624748,2.86478443,0,0
26.486197,78.4512497,2.86643286,0,0
26.4649699,78.5786739,2.86101653,0,0
26.4437598,79.0844022,2.86224248,0,0
26.4225668,78.7556677,2.85581409,0,0
26.4013908,79.3644314,2.86447482,0,0
26.3802318,77.7624071,2.83851845,0,0
26.3590898,77.7507506,2.83335117,0,0
26.3379648,79.3529969,2.85427148,0,0
26.3168568,78.4366137,2.83964872,0,0
26.2957657,78.9638468,2.84388148,0,0
26.2746917,78.9659864,2.84167426,0,0
26.2536345,77.0133773,2.81058911,0,0
26.2325942,78.1696041,2.82446141,0,0
26.2115709,78.1900977,2.82155254,0,0
26.1905645,78.9120815,2.83125853,0,0
26.1695749,78.3614099,2.82184559,0,0
26.1486023,78.9783449,2.82941898,0,0
26.1276464,78.6974446,2.82129427,0,0
26.1067074,79.2730594,2.82632386,0,0
26.0857852,77.5300226,2.79881784,0,0
26.0648799,78.1345429,2.80653003,0,0
26.0439913,78.1733801,2.80512323,0,0
26.0231195,77.8471601,2.79745675,0,0
26.0022645,78.3179835,2.79985759,0,0
25.9814263,78.604272,2.80055774,0,0
25.9606048,77.7583148,2.78655668,0,0
25.9398,78.1893333,2.79126156,0,0
25.919012,78.0360788,2.78498036,0,0
25.8982406,79.0522017,2.79534796,0,0
25.8774859,78.5134929,2.78607567,0,0
25.856748,77.8702623,2.77618549,0,0
25.8360266,78.3039057,2.77987723,0,0
25.815322,77.221299,2.76321493,0,0
25.7946339,79.0872586,2.78866613,0,0
25.7739625,78.7660717,2.78093434,0,0
25.7533077,77.3974228,2.75789119,0,0
25.7326695,78.9200599,2.77752043,0,0
25.7120479,78.4759085,2.76990396,0,0
25.6914428,79.0333301,2.77673636,0,0
25.6708544,77.8790271,2.75683045,0,0
25.6502824,77.3782966,2.74503553,0,0
25.629727,78.1622729,2.75341029,0,0
25.6091881,79.4073302,2.76858154,0,0
25.5886657,79.6422367,2.76981942,0,0
25.5681597,77.9925746,2.74367953,0,0
25.5476703,78.5753346,2.74966809,0,0
25.5271973,78.0724402,2.74166847,0,0
25.5067408,78.9842722,2.75338268,0,0
25.4863007,78.8047469,2.7477243,0,0
25.4658771,79.6639446,2.7582167,0,0
25.4454698,79.967633,2.76034793,0,0
25.425079,78.6023795,2.73792418,0,0
25.4047045,80.0682451,2.75707947,0,0
25.3843464,78.9770959,2.73965023,0,0
25.3640046,78.600313,2.73043643,0,0
25.3436792,79.7138308,2.74211206,0,0
25.3233702,79.9738842,2.74388754,0,0
25.3030774,78.7149267,2.726243,0,0
25.2828009,78.4687338,2.72151622,0,0
25.2625408,78.7158677,2.72094304,0,0
25.2422969,78.3273346,2.7119143,0,0
25.2220693,78.7452965,2.71613576,0,0
25.2018579,77.3968881,2.69768641,0,0
25.1816628,77.0751444,2.6941073,0,0
25.1614839,78.4535763,2.71031346,0,0
25.1413212,77.0059799,2.6850761,0,0
25.1211747,77.7841999,2.69097614,0,0
25.1010444,78.8414018,2.70197661,0,0
25.0809302,79.2422283,2.7047644,0,0
25.0608323,77.4768208,2.67763235,0,0
25.0407504,79.7727407,2.70997648,0,0
25.0206847,78.4184299,2.68843336,0,0
25.0006352,78.8964743,2.69264281,0,0
24.9806017,78.4838197,2.68722355,0,0
24.9605843,78.1947735,2.67923482,0,0
24.940583,78.6249125,2.67976404,0,0
24.9205978,78.2083834,2.66997634,0,0
24.9006286,78.3700793,2.67058598,0,0
24.8806755,78.7474736,2.67587018,0,0
24.8607384,77.1583699,2.65194043,0,0
24.8408173,78.0346336,2.66047307,0,0
24.8209122,77.8165768,2.65391587,0,0
24.8010232,78.1081327,2.65366253,0,0
24.7811501,78.825362,2.66236955,0,0
24.7612929,77.1408941,2.63974768,0,0
24.7414517,78.434576,2.65637511,0,0
24.7216265,78.0980202,2.64877483,0,0
24.7018172,78.3008798,2.65000403,0,0
24.6820238,78.1903743,2.6468383,0,0
24.6622463,78.6118917,2.65041321,0,0
24.6424846,79.5997413,2.66011653,0,0
24.6227389,79.4075379,2.65403095,0,0
24.603009,79.8310686,2.65732348,0,0
24.583295,78.7127945,2.64189447,0,0
24.5635968,77.4808656,2.62292283,0,0
24.5439144,78.9766066,2.64082184,0,0
24.5242479,78.0350753,2.62767063,0,0
24.5045971,78.0603826,2.62759204,0,0
24.4849621,78.7658249,2.63619217,0,0
24.4653429,77.7374584,2.62139439,0,0
24.4457394,78.096975,2.62411633,0,0
24.4261518,77.6140247,2.61273379,0,0
24.4065798,78.0221378,2.61570073,0,0
24.3870235,79.0023528,2.62869207,0,0
24.367483,77.7579558,2.61026262,0,0
24.3479582,78.4913838,2.61748443,0,0
24.328449,78.7960717,2.62051581,0,0
24.3089556,79.1786257,2.62314085,0,0
24.2894777,78.4530612,2.60933228,0,0
24.2700155,78.8597129,2.61211118,0,0
24.250569,78.937753,2.6135486,0,0
24.2311381,77.4443027,2.59306517,0,0
24.2117228,78.2022417,2.59938604,0,0
24.1923231,76.6657433,2.57391443,0,0
24.1729389,78.742487,2.59750599,0,0
24.1535704,78.4388373,2.58935379,0,0
24.1342173,78.5991472,2.58936543,0,0
24.1148799,77.9295429,2.58048939,0,0
24.0955579,78.3156628,2.58498426,0,0
24.0762516,77.5033489,2.57096564,0,0
24.0569607,78.4287319,2.58184235,0,0
24.0376852,77.3641769,2.56704875,0,0
24.0184253,78.4116182,2.58043012,0,0
23.9991809,77.9123146,2.57097748,0,0
23.9799519,77.3521266,2.56111208,0,0
23.9607383,77.9043974,2.56451418,0,0
23.9415402,78.7302797,2.57315047,0,0
23.9223575,78.3884938,2.5681288,0,0
23.9031902,77.336372,2.55220451,0,0
23.8840383,79.0901542,2.57407443,0,0
23.8649018,78.086494,2.557889,0,0
23.8457807,78.6713465,2.56325824,0,0
23.8266749,78.1763222,2.55380527,0,0
23.8075845,78.1456493,2.55026807,0,0
23.7885094,78.5937033,2.55459643,0,0
23.7694496,79.1215291,2.56272452,0,0
23.7504051,77.5429943,2.54097639,0,0
23.7313759,77.9849534,2.54356635,0,0
23.712362,78.0062151,2.54293536,0,0
