'y-axis saved as y
'Q,PG3_59701-1.xye,SigmaYobs,Ycalc,Diff
31.5714969,77.7390262,3.64865577,0,0
31.546181,79.3372169,3.67579051,0,0
31.5208854,79.9104204,3.68241726,0,0
31.4956101,79.2305857,3.6623142,0,0
31.4703552,79.8023283,3.66625678,0,0
31.4451205,79.1106075,3.65052044,0,0
31.4199062,79.2671635,3.65167804,0,0
31.3947121,80.7038703,3.6719788,0,0
31.3695384,79.1123958,3.63388912,0,0
31.3443849,78.474063,3.61618998,0,0
31.3192516,80.4069338,3.65021247,0,0
31.2941385,79.0875819,3.62321215,0,0
31.2690456,77.9233191,3.59807125,0,0
31.2439729,80.7451736,3.647784,0,0
31.2189205,77.8711247,3.59312443,0,0
31.1938881,79.2710217,3.61499987,0,0
31.1688759,78.3986208,3.5911764,0,0
31.1438838,79.4338833,3.60543515,0,0
31.1189118,80.3029834,3.61610341,0,0
31.0939599,80.0290528,3.60226286,0,0
31.069028,78.8073157,3.57332912,0,0
31.0441162,80.6063974,3.6007922,0,0
31.0192245,77.8254359,3.54940792,0,0
30.9943528,79.9604885,3.58630164,0,0
30.969501,79.9856666,3.58424803,0,0
30.9446693,78.8539238,3.56459925,0,0
30.9198575,79.3991678,3.56792405,0,0
30.8950658,79.7655699,3.56400763,0,0
30.8702939,78.7167946,3.53460827,0,0
30.845542,80.0200802,3.55282996,0,0
30.82081,80.4514529,3.55617114,0,0
30.7960979,80.7310279,3.55784116,0,0
30.7714056,80.4093492,3.55201207,0,0
30.7467332,78.9356748,3.52805538,0,0
30.7220807,79.5457959,3.53668127,0,0
30.697448,79.2914734,3.52215517,0,0
30.6728351,79.8955123,3.52567075,0,0
30.6482419,79.1668415,3.51016354,0,0
30.6236686,79.8096388,3.51933113,0,0
30.5991151,80.5701478,3.52348448,0,0
30.5745813,80.1852408,3.51120091,0,0
30.5500672,78.91306,3.48939275,0,0
30.5255728,78.6428422,3.48258474,0,0
30.5010981,78.8151119,3.47854599,0,0
30.4766432,79.440501,3.47924029,0,0
30.4522079,79.7770012,3.48194861,0,0
30.4277922,79.8124449,3.48072565,0,0
30.4033962,79.6489579,3.47202984,0,0
30.3790198,79.7052828,3.46683921,0,0
30.3546631,79.2168061,3.45350808,0,0
30.3303259,79.6114468,3.4579929,0,0
30.3060082,78.7670433,3.44085653,0,0
30.2817101,79.0725223,3.44233389,0,0
30.2574316,80.3071304,3.45810871,0,0
30.2331726,79.4183269,3.44053507,0,0
30.2089331,77.897891,3.4096441,0,0
30.1847131,78.6709795,3.41809132,0,0
30.1605126,77.5931723,3.39357778,0,0
30.1363316,78.8996322,3.41242658,0,0
30.11217,79.2732317,3.41289439,0,0
30.0880278,78.6113103,3.39618408,0,0
30.0639051,78.5935518,3.39216583,0,0
30.0398017,78.3699962,3.38602627,0,0
30.0157177,78.752508,3.3885535,0,0
29.9916531,79.4809724,3.39701635,0,0
29.9676079,81.0595309,3.42186406,0,0
29.9435819,78.0142471,3.36454412,0,0
29.9195754,80.220641,3.39837129,0,0
29.8955881,78.9632082,3.37436476,0,0
29.8716201,78.5812601,3.36620409,0,0
29.8476713,79.5363544,3.37600553,0,0
29.8237419,82.0222006,3.41152454,0,0
29.7998317,78.349008,3.34580547,0,0
29.7759407,77.9016182,3.33899688,0,0
29.7520689,78.3771605,3.34614586,0,0
29.7282164,78.8092869,3.35055651,0,0
29.704383,78.3345173,3.33624521,0,0
29.6805687,78.6676553,3.33322432,0,0
29.6567736,79.0874219,3.33548234,0,0
29.6329977,80.0797599,3.34860215,0,0
29.6092409,79.334871,3.33008293,0,0
29.5855032,79.9695292,3.33569575,0,0
29.5617845,80.2775874,3.3411418,0,0
29.5380849,79.9842063,3.33699269,0,0
29.5144045,77.9037766,3.29889332,0,0
29.490743,78.4702988,3.30319312,0,0
29.4671006,78.1125314,3.29315421,0,0
29.4434772,79.048551,3.30510498,0,0
29.4198727,79.8869039,3.31386665,0,0
29.3962873,79.7560738,3.30978919,0,0
29.3727208,79.0414545,3.29508531,0,0
29.3491733,79.1305373,3.2908232,0,0
29.3256447,79.8864455,3.29887533,0,0
