'y-axis saved as y
'Q,BL21Robot0305_FY25c1-2025-01-14-1420_scan2.xye,SigmaYobs,Ycalc,Diff
12.9758874,6.39155203,2.5281519,0,0
12.9763817,6.38419851,2.52669716,0,0
12.976876,6.56503378,2.56223219,0,0
12.9773702,6.41476821,2.53273927,0,0
12.9778644,6.39380482,2.5285974,0,0
12.9783586,6.57984061,2.56512,0,0
12.9788528,6.20727767,2.49144088,0,0
12.9793469,6.462246,2.54209481,0,0
12.979841,6.44677132,2.53904929,0,0
12.9803351,6.51133864,2.55173248,0,0
12.9808292,6.4863399,2.54682938,0,0
12.9813232,6.56724702,2.56266405,0,0
12.9818173,6.36249886,2.52239943,0,0
12.9823113,6.41747201,2.53327298,0,0
12.9828052,6.57050713,2.56330005,0,0
12.9832992,6.56281087,2.56179837,0,0
12.9837931,6.51263113,2.55198572,0,0
12.984287,6.48456062,2.54648005,0,0
12.9847808,6.26661436,2.50332067,0,0
12.9852747,6.53681699,2.55671997,0,0
12.9857685,6.58814034,2.5667373,0,0
12.9862623,6.55793489,2.56084652,0,0
12.9867561,6.50766628,2.5510128,0,0
12.9872498,6.47438739,2.54448175,0,0
12.9877435,6.56539489,2.56230265,0,0
12.9882372,6.54582648,2.55848128,0,0
12.9887309,6.45751542,2.54116419,0,0
12.9892246,6.56081723,2.56140923,0,0
12.9897182,6.50426902,2.55034684,0,0
12.9902118,6.25841531,2.5016825,0,0
12.9907054,6.40158136,2.53013465,0,0
12.9911989,6.59795985,2.56864942,0,0
12.9916924,6.50249405,2.54999883,0,0
12.9921859,6.4667541,2.54298134,0,0
12.9926794,6.43362823,2.53645978,0,0
12.9931728,6.50988706,2.55144803,0,0
12.9936663,6.44114754,2.53794159,0,0
12.9941597,6.47338407,2.54428459,0,0
12.994653,6.42118344,2.53400541,0,0
12.9951464,6.55131559,2.55955379,0,0
12.9956397,6.47619207,2.54483635,0,0
12.996133,6.47734311,2.5450625,0,0
12.9966263,6.53722334,2.55679943,0,0
12.9971195,6.35148925,2.52021611,0,0
12.9976128,6.56054964,2.56135699,0,0
12.998106,6.44950783,2.53958812,0,0
12.9985991,6.38898879,2.52764491,0,0
12.9990923,6.45600495,2.54086697,0,0
12.9995854,6.45738005,2.54113755,0,0
13.0000785,6.48957959,2.54746533,0,0
13.0005716,6.53557939,2.55647793,0,0
13.0010647,6.39805494,2.52943767,0,0
13.0015577,6.54917198,2.55913501,0,0
13.0020507,6.55068413,2.55943043,0,0
13.0025437,6.52677809,2.55475598,0,0
13.0030366,6.56236848,2.56171202,0,0
13.0035296,6.50223305,2.54994766,0,0
13.0040225,6.47002376,2.54362414,0,0
13.0045153,6.3408567,2.51810578,0,0
13.0050082,6.48387484,2.54634539,0,0
13.005501,6.53316094,2.55600488,0,0
13.0059938,6.42174583,2.53411638,0,0
13.0064866,6.4399044,2.53769667,0,0
