'y-axis saved as y
'Q,BL21Robot0303_FY25c1-2025-01-14-1346_scan2.xye,SigmaYobs,Ycalc,Diff
2.69091459,9.04666334,3.00776717,8.92147987,0.12518347
2.69165696,8.77992786,2.9630943,8.90141481,-0.121486946
2.69239932,8.92391064,2.98729152,8.88217615,0.041734491
2.69314167,8.63057863,2.93778465,8.86371146,-0.233132831
2.69388402,8.68144737,2.9464296,8.84597241,-0.16452504
2.69462636,8.7463352,2.95742036,8.82891439,-0.0825791904
2.6953687,8.36937479,2.89298717,8.81249619,-0.443121397
2.69611103,8.58657558,2.93028592,8.79667967,-0.210104091
2.69685336,8.72343006,2.95354534,8.78142953,-0.0579994702
2.69759568,8.55445298,2.92479965,8.76671302,-0.212260041
2.698338,8.88108877,2.98011556,8.75249975,0.128589018
2.69908032,8.71144929,2.95151644,8.73876148,-0.0273121918
2.69982262,8.80531754,2.96737553,8.72547194,0.0798455985
2.70056493,8.5889499,2.93069103,8.71260667,-0.123656773
2.70130722,8.58435927,2.92990772,8.70014288,-0.11578361
2.70204951,8.54036169,2.92238972,8.6880593,-0.147697609
2.7027918,8.64750459,2.94066397,8.67633607,-0.0288314818
2.70353408,8.48492976,2.91289028,8.66495464,-0.180024882
2.70427636,8.57446148,2.92821814,8.65389765,-0.0794361695
2.70501863,8.68783577,2.94751349,8.64314884,0.0446869257
2.7057609,8.40357757,2.89889247,8.632693,-0.229115429
2.70650316,8.46376316,2.90925474,8.62251583,-0.158752675
2.70724542,8.70531676,2.95047738,8.61260395,0.092712809
2.70798767,8.71022333,2.95130875,8.60294476,0.107278568
2.70872991,8.45843665,2.90833916,8.59352644,-0.135089789
2.70947215,8.6710997,2.94467311,8.58433786,0.086761844
2.71021439,8.57829949,2.92887342,8.57536854,0.00293095087
2.71095662,8.67132577,2.94471149,8.56660862,0.104717146
2.71169884,8.50246729,2.91589905,8.55804881,-0.0555815233
2.71244106,8.49800111,2.91513312,8.54968034,-0.0516792269
2.71318328,8.37692967,2.8942926,8.54149492,-0.164565248
2.71392549,8.42829759,2.90315304,8.53348474,-0.10518715
2.71466769,8.64688915,2.94055933,8.52564242,0.121246733
2.71540989,8.4585501,2.90835866,8.51796096,-0.0594108647
2.71615209,8.56468,2.92654745,8.51043377,0.0542462254
2.71689428,8.42324424,2.90228259,8.50305459,-0.0798103519
2.71763646,8.17504323,2.85920325,8.49581749,-0.320774261
2.71837864,8.66558241,2.94373613,8.48871686,0.176865552
2.71912081,8.50139521,2.91571521,8.48174737,0.0196478429
2.71986298,8.32900362,2.88600132,8.47490397,-0.145900348
2.72060514,8.51973428,2.91885839,8.46818186,0.0515524156
2.7213473,8.35398765,2.89032656,8.4615765,-0.107588854
2.72208945,8.17404491,2.85902866,8.45508356,-0.28103865
2.7228316,8.50889805,2.91700155,8.44869892,0.0601991309
2.72357374,8.26296421,2.87453722,8.44241867,-0.17945446
2.72431588,8.47531817,2.91123997,8.43623909,0.03907908
2.72505801,8.31733256,2.8839786,8.43015664,-0.112824077
2.72580014,8.42831993,2.90315689,8.42416794,0.00415199425
2.72654226,8.43191248,2.90377556,8.41826977,0.0136427077
2.72728438,8.44807686,2.90655756,8.41245908,0.035617778
2.72802649,8.29028582,2.87928564,8.40673294,-0.116447123
2.72876859,8.22821432,2.86848642,8.40108857,-0.172874248
2.7295107,8.51264809,2.91764427,8.3955233,0.117124793
2.73025279,8.63938897,2.93928375,8.39003459,0.24935438
2.73099488,8.51050692,2.91727731,8.38462002,0.125886897
2.73173697,8.21892115,2.86686608,8.37927728,-0.160356127
2.73247905,8.39468273,2.89735789,8.37400414,0.0206785905
2.73322112,8.44040455,2.90523743,8.36879849,0.0716060583
2.73396319,8.32313147,2.88498379,8.36365831,-0.0405268391
2.73470526,8.54309394,2.92285715,8.35858165,0.184512286
2.73544732,8.4838865,2.91271119,8.35356667,0.130319827
2.73618937,8.56974276,2.9274123,8.34861159,0.221131169
2.73693142,8.51773696,2.91851623,8.34371471,0.174022253
2.73767346,8.13817998,2.85274955,8.33887439,-0.200694413
2.7384155,8.27366379,2.87639771,8.34377519,-0.0701114029
2.73915753,8.23467988,2.86961319,8.33906395,-0.104384071
2.73989956,8.14942284,2.8547194,8.33440486,-0.184982015
2.74064158,8.35187619,2.88996128,8.32979653,0.0220796599
2.7413836,8.20760131,2.86489115,8.32523766,-0.117636347
2.74212561,8.28297028,2.87801499,8.32072697,-0.0377566902
2.74286762,8.27514904,2.87665588,8.31626326,-0.0411142151
2.74360962,8.4138423,2.90066239,8.31184535,0.101996954
2.74435162,8.37692685,2.89429212,8.30747212,0.0694547281
2.74509361,8.2818899,2.87782729,8.30314251,-0.0212526086
2.7458356,8.27142264,2.87600811,8.29885547,-0.0274328324
2.74657758,8.24361894,2.87117031,8.29461002,-0.0509910806
2.74731955,8.42378078,2.90237502,8.2904052,0.133375581
2.74806152,8.32587759,2.88545968,8.28624009,0.0396374994
2.74880349,8.33690408,2.88736975,8.28211381,0.0547902667
2.74954545,8.40814225,2.89967968,8.27802552,0.130116731
2.75028741,8.46009367,2.90862402,8.27397439,0.186119277
2.75102935,8.11521744,2.84872207,8.26995965,-0.154742209
2.7517713,8.59222478,2.9312497,8.26598053,0.326244247
2.75251324,8.3828337,2.89531237,8.26203632,0.120797381
2.75325517,8.1967822,2.86300231,8.25812631,-0.0613441075
2.7539971,8.51374802,2.91783276,8.25424983,0.259498195
2.75473902,8.16437404,2.85733688,8.25040622,-0.0860321842
2.75548094,8.17742809,2.85962027,8.24659488,-0.0691667911
2.75622286,8.48264155,2.91249748,8.2428152,0.239826355
2.75696476,8.34267675,2.88836922,8.23906659,0.103610162
2.75770667,8.25477308,2.87311209,8.2353485,0.0194245775
2.75844856,8.25552452,2.87324286,8.2316604,0.0238641179
2.75919045,8.08915764,2.84414445,8.22800177,-0.13884413
2.75993234,8.34262893,2.88836094,8.22437211,0.118256821
2.76067422,8.30197861,2.88131543,8.22077094,0.081207672
2.7614161,8.38597209,2.89585429,8.2171978,0.168774294
2.76215797,8.2876628,2.87883011,8.21365224,0.0740105619
2.76289983,8.12310394,2.85010595,8.21013383,-0.0870298949
2.7636417,8.39803954,2.89793712,8.20664217,0.191397367
2.76438355,8.20954841,2.86523095,8.20317686,0.00637155471
2.7651254,8.45121718,2.90709772,8.1997375,0.251479683
2.76586724,8.08248164,2.84297057,8.19632373,-0.11384209
2.76660908,8.19388941,2.86249706,8.1929352,0.000954212435
2.76735092,8.10871622,2.84758077,8.18957156,-0.0808553369
2.76809275,8.2312207,2.8690104,8.18623248,0.044988222
2.76883457,8.28103375,2.87767853,8.18291764,0.0981161072
2.76957639,8.0504673,2.83733454,8.17962675,-0.129159445
2.7703182,8.12038608,2.84962911,8.17635949,-0.0559734099
2.77106001,8.23864296,2.87030364,8.17311559,0.0655273663
2.77180181,8.13758711,2.85264563,8.16989478,-0.0323076731
2.77254361,8.23205019,2.86915496,8.1666968,0.0653533947
2.7732854,8.33136125,2.88640975,8.16352138,0.167839873
2.77402719,8.40897671,2.89982357,8.16036829,0.248608424
2.77476897,7.89353097,2.80954284,8.15723729,-0.263706318
2.77551074,8.22930693,2.86867686,8.15412816,0.0751787728
2.77625252,8.17910942,2.85991423,8.15104068,0.0280687413
2.77699428,8.32844372,2.88590432,8.14797464,0.180469075
2.77773604,8.22068229,2.86717322,8.14492986,0.0757524339
2.7784778,8.22874303,2.86857857,8.14190612,0.0868369083
2.77921955,8.28039778,2.87756803,8.13890326,0.141494522
2.77996129,8.36363366,2.89199475,8.13592109,0.22771257
2.78070303,8.69376105,2.94851845,8.13295945,0.560801602
2.78144476,8.1093329,2.84768904,8.13001817,-0.020685272
2.78218649,8.25632545,2.87338223,8.12709711,0.129228343
2.78292821,8.18792945,2.86145583,8.12419611,0.0637333432
